timestamp,step,phase,cpu_util_percent,gpu_util_percent,gpu_mem_mb,gpu_power_w,host_mem_mb,disk_read_mb_s,disk_write_mb_s
2026-04-21T02:01:17.355+00:00,0,forward,101.979,0.000,49.364,261.360,987.629,0.000,0.000
2026-04-21T02:01:17.479+00:00,0,optimizer,111.565,0.000,101.218,246.670,1070.352,0.000,0.000
2026-04-21T02:01:17.608+00:00,7,dataloader,96.852,14.000,1318.736,234.110,1199.105,0.000,0.000
2026-04-21T02:01:17.738+00:00,10,idle,101.010,100.000,143.019,237.010,1199.727,0.000,0.000
2026-04-21T02:01:17.867+00:00,18,forward,100.115,100.000,1408.297,237.450,1199.727,0.000,0.361
2026-04-21T02:01:17.995+00:00,20,idle,100.931,100.000,186.196,237.800,1199.789,0.000,0.061
2026-04-21T02:01:18.124+00:00,29,forward,101.383,100.000,1585.012,238.170,1199.789,0.000,0.000
2026-04-21T02:01:18.257+00:00,30,idle,100.928,100.000,1585.012,241.750,1199.727,0.000,0.000
2026-04-21T02:01:18.386+00:00,40,forward,97.246,100.000,143.019,258.690,1200.102,0.000,0.000
2026-04-21T02:01:18.517+00:00,44,optimizer,100.849,100.000,398.057,274.640,1200.164,0.000,0.000
2026-04-21T02:01:18.646+00:00,50,idle,99.479,100.000,143.019,301.300,1200.102,0.000,0.000
2026-04-21T02:01:18.774+00:00,56,backward,108.385,100.000,673.243,298.510,1199.977,0.000,1.300
2026-04-21T02:01:18.903+00:00,60,idle,93.688,100.000,143.019,298.820,1200.102,0.000,0.000
2026-04-21T02:01:19.034+00:00,67,backward,100.522,100.000,673.243,299.050,1200.102,0.000,0.000
2026-04-21T02:01:19.163+00:00,70,idle,107.393,100.000,143.019,298.610,1200.164,0.000,0.000
2026-04-21T02:01:19.295+00:00,78,backward,92.263,100.000,640.180,298.380,1200.164,0.000,0.000
2026-04-21T02:01:19.424+00:00,80,idle,99.469,100.000,1585.012,298.450,1200.102,0.000,0.000
2026-04-21T02:01:19.554+00:00,89,backward,108.209,100.000,1003.176,298.250,1199.977,0.000,0.242
2026-04-21T02:01:19.683+00:00,91,optimizer,100.095,100.000,735.680,298.360,1200.039,0.000,0.902
2026-04-21T02:01:19.814+00:00,100,backward,107.871,100.000,143.019,298.330,1200.223,0.000,0.000
2026-04-21T02:01:19.944+00:00,105,backward,99.637,100.000,839.899,297.600,1200.285,0.000,0.000
2026-04-21T02:01:20.115+00:00,110,idle,92.369,100.000,143.019,296.960,1200.285,0.000,0.000
2026-04-21T02:01:20.243+00:00,118,backward,99.703,100.000,670.242,296.950,1200.285,0.000,0.664
2026-04-21T02:01:20.376+00:00,120,idle,100.987,100.000,1585.012,297.360,1200.160,0.000,0.000
2026-04-21T02:01:20.505+00:00,129,backward,104.984,100.000,592.085,297.770,1200.285,0.000,0.000
2026-04-21T02:01:20.635+00:00,132,backward,101.588,100.000,1590.777,298.680,1200.223,0.000,0.000
2026-04-21T02:01:20.765+00:00,140,backward,99.613,100.000,143.019,298.690,1200.227,0.000,0.000
2026-04-21T02:01:20.897+00:00,145,optimizer,100.131,100.000,1587.189,298.680,1200.223,0.000,0.000
2026-04-21T02:01:21.025+00:00,150,idle,106.125,100.000,143.019,298.550,1200.223,0.000,0.000
2026-04-21T02:01:21.158+00:00,156,optimizer,100.868,100.000,1587.189,298.920,1200.098,0.000,0.000
2026-04-21T02:01:21.288+00:00,160,idle,98.326,100.000,143.019,299.120,1200.285,0.000,0.000
2026-04-21T02:01:21.418+00:00,168,forward,99.916,100.000,1590.777,298.980,1200.223,0.000,4.053
2026-04-21T02:01:21.546+00:00,170,idle,100.396,100.000,143.019,298.880,1200.285,0.000,0.000
2026-04-21T02:01:21.677+00:00,178,backward,101.781,100.000,1202.807,298.770,1200.223,0.000,0.000
2026-04-21T02:01:21.806+00:00,180,idle,99.025,100.000,1585.012,298.720,1200.285,0.000,0.000
2026-04-21T02:01:21.937+00:00,189,backward,100.977,100.000,143.019,298.430,1200.223,0.000,0.000
2026-04-21T02:01:22.066+00:00,194,backward,106.008,100.000,1181.737,298.550,1200.223,0.000,0.000
2026-04-21T02:01:22.195+00:00,200,backward,100.995,100.000,143.019,298.760,1200.223,0.000,0.121
2026-04-21T02:01:22.325+00:00,206,forward,92.712,100.000,1318.736,298.950,1200.285,0.000,0.000
2026-04-21T02:01:22.454+00:00,210,idle,107.898,100.000,143.019,299.110,1200.223,0.000,1.204
2026-04-21T02:01:22.583+00:00,217,forward,101.022,100.000,1585.262,298.970,1200.223,0.000,0.000
2026-04-21T02:01:22.714+00:00,220,idle,93.336,100.000,143.019,298.720,1200.285,0.000,0.000
2026-04-21T02:01:22.843+00:00,228,forward,106.471,100.000,1587.189,298.270,1200.285,0.000,0.267
